Output (S),Ia,Ib,Ic,Va,Vb,Vc,Unnamed: 7,Unnamed: 8,prediction
0,-54.63723934,77.63051176,-20.76464867,-0.484986254,-0.075524255,0.56051051,,,0
0,-61.5472926,30.33462178,33.10866833,0.160145498,-0.572922582,0.412777084,,,0
1,471.8700888,412.1917714,-881.933146,0.042233272,-0.024018151,-0.018215121,,,1
0,-66.20500011,40.8576495,21.87843735,0.129104177,-0.560063475,0.430959298,,,0
1,671.3573299,70.73965268,-30.79705485,-0.288724613,0.205978106,0.082746507,,,1
1,393.1563323,-899.1125735,-44.43742251,-0.02416444,0.079873858,-0.055709418,,,1
0,-55.49351128,77.98403447,-20.17478412,-0.479364906,-0.08458311,0.563948015,,,0
1,12.7482618,525.4284722,-535.4720644,0.459588332,0.029299825,-0.488888157,,,1
0,-61.99764032,7.344142221,50.88758166,0.114680232,-0.572996564,0.458316331,,,0
0,34.16492344,-55.66432291,36.73276327,0.596701854,-0.193328748,-0.403373106,,,0
1,135.3446005,688.1373857,-823.4834833,0.040073823,-0.008161538,-0.031912285,,,1
1,772.9856573,23.57400131,25.20347894,0.127334209,-0.453990337,0.326656128,,,1
0,-51.77291394,91.87530186,-42.99205682,-0.52757453,-0.000312144,0.527886674,,,0
0,-69.11176747,29.64302887,42.15470911,-0.012470433,-0.518037181,0.530507614,,,0
1,-209.1725573,847.6958269,-638.525096,0.031778752,0.008370525,-0.040149277,,,1
0,54.67242931,-20.01883007,-32.71024301,0.311170342,0.299305744,-0.610476086,,,0
0,11.67934182,-52.23988156,43.21928702,0.598562076,-0.255616607,-0.342945469,,,0
1,35.38886929,-45.45341943,49.92900781,0.37550287,-0.576500596,0.200997726,,,0
1,483.2107941,400.3168769,-881.4790355,0.042143245,-0.02453751,-0.017605735,,,1
0,46.68909851,33.81721785,-78.57453077,-0.236701282,0.616141855,-0.379440573,,,0
0,35.92212088,-29.37026006,0.728406817,0.575762907,-0.128957432,-0.446805475,,,0
0,57.4760193,-10.71210354,-44.50228044,0.094010314,0.475585984,-0.569596299,,,0
0,-68.4334677,69.79610849,0.541209787,-0.240904594,-0.354619001,0.595523595,,,0
0,53.12199194,15.78503745,-71.94827974,-0.043775986,0.558406351,-0.514630365,,,0
0,-51.98208297,13.38846602,40.41530881,0.299735929,-0.590412479,0.29067655,,,0
0,-71.49542745,72.30351798,-4.037609879,-0.216627031,-0.37286768,0.589494711,,,0
0,44.99172587,39.6351476,-87.46844355,-0.222408949,0.618743398,-0.396334448,,,0
0,-63.30594393,92.4798604,-32.64051087,-0.4347047,-0.146588643,0.581293342,,,0
0,-27.4248852,-10.78136284,36.79079072,0.533385734,-0.413276796,-0.120108938,,,0
1,-769.1643857,168.7830625,-20.54374551,-0.057097552,0.342103414,-0.285005862,,,1
0,34.38920823,41.08194602,-73.13284099,-0.381328975,0.609508608,-0.228179632,,,0
1,814.7706557,-711.5822125,-103.1803767,0.003489972,-0.038366298,0.034876326,,,1
1,-626.208224,853.1372388,-224.8178211,0.012475339,0.028829355,-0.041304694,,,1
0,43.79116048,39.00552418,-86.07435565,-0.239116774,0.620112932,-0.380996158,,,0
1,-866.5951736,288.1526117,580.5412139,-0.02647073,0.041901819,-0.015431089,,,1
1,-736.9026314,-35.69248742,-25.2579807,-0.087034503,0.407214268,-0.320179765,,,1
1,-271.9568043,868.7007737,49.20401205,0.029506879,-0.131395254,0.101888375,,,1
0,-0.651255025,84.72709524,-87.33654567,-0.584669245,0.481492877,0.103176369,,,0
1,1.552092983,-714.4911165,715.3529121,-0.337009102,-0.013457263,0.350466365,,,1
0,40.5401201,43.62250019,-87.31486631,-0.290521837,0.624779672,-0.334257835,,,0
0,36.43693411,47.954209,-87.30815555,-0.346978158,0.622882267,-0.275904109,,,0
0,56.9719278,-32.2504471,-19.64655208,0.240963306,0.358813615,-0.599776922,,,0
1,-739.4433674,788.4512075,-46.89928234,0.004007696,0.034528952,-0.038536649,,,1
1,673.935809,-832.0886002,158.1505291,-0.009304344,-0.031106724,0.040411068,,,1
0,-49.21939699,-10.16542435,62.16836101,0.35254805,-0.599128685,0.246580635,,,0
0,59.64809525,-34.3158098,-29.04471108,0.156383891,0.427897848,-0.584281739,,,0
0,-16.47540858,60.20179514,-47.39777324,-0.607051063,0.309105437,0.297945626,,,0
1,-43.78463176,781.0103614,-734.7264577,0.105965578,-0.007522868,-0.098442709,,,1
0,55.56996877,-15.88574787,-37.8157189,0.261907573,0.347849798,-0.60975737,,,0
1,15.56708471,497.4602599,-510.319949,0.468554099,0.03070885,-0.499262949,,,1
0,45.8253176,-46.78156922,3.707765999,0.427976114,0.153112486,-0.5810886,,,0
0,34.60321859,-27.05182433,-10.85753777,0.506355737,0.029268023,-0.53562376,,,0
0,-37.98849867,100.1684198,-65.61775438,-0.601093058,0.182418018,0.41867504,,,0
1,880.080829,-364.4520939,-513.5688469,0.023201501,-0.04225743,0.019055928,,,1
1,869.3674213,-402.3881675,17.10454399,0.022092471,-0.309101419,0.287008948,,,1
0,-8.267926627,87.82520411,-82.6926045,-0.605080032,0.427831811,0.177248222,,,0
0,-69.91264596,32.83803734,39.87624725,-0.041214304,-0.502775246,0.54398955,,,0
1,604.6078472,235.881041,49.79273812,0.040700966,-0.373360469,0.332659504,,,1
1,564.1233356,70.14247281,-37.09537435,-0.327624857,0.300881557,0.0267433,,,1
1,863.3744004,60.13207057,-7.279523936,-0.12630414,-0.103408911,0.22971305,,,1
0,21.69590229,65.43446468,-90.15645705,-0.475071631,0.589148013,-0.114076382,,,0
0,-42.03440044,73.44756751,-28.54451264,-0.57154864,0.098803802,0.472744838,,,0
0,1.645906892,82.21211396,-86.99636245,-0.577495067,0.492847845,0.084647222,,,0
0,-40.41337191,-20.2142422,63.40744373,0.431258168,-0.578864091,0.147605923,,,0
0,49.82582628,-15.7312656,-37.39213653,0.332520167,0.27775795,-0.610278117,,,0
0,11.75314905,-32.87078599,22.99802818,0.59345925,-0.251325847,-0.342133402,,,0
0,34.12815928,18.34704696,-49.64047497,0.492883931,0.055316233,-0.548200164,,,0
1,-761.6230144,-45.06257839,-15.98025082,-0.025736922,0.324009937,-0.298273015,,,1
0,19.25459023,-34.31022959,16.93458546,0.583632609,-0.181075993,-0.402556615,,,0
0,10.04536317,-60.51216209,46.72546876,0.604712863,-0.30088148,-0.303831382,,,0
0,58.60900452,-50.36319453,-8.245809983,0.346373021,0.257221784,-0.603594805,,,0
0,44.40544391,12.49636213,-60.08513807,-0.295213288,0.605829198,-0.31061591,,,0
1,-657.620238,-87.18732268,-9.434907575,0.143773048,0.0277662,-0.171539248,,,1
1,88.91583634,-48.56683077,50.84711416,0.372352658,-0.591343496,0.218990837,,,1
1,-846.4685632,259.8716873,-26.33911966,-0.027985562,0.341477861,-0.3134923,,,1
0,40.86145773,32.49119822,-71.01232281,-0.310360532,0.615452107,-0.305091576,,,0
0,-66.1433462,82.41156156,-19.26392347,-0.366856972,-0.230033442,0.596890414,,,0
0,-4.606968482,55.40491998,-54.44576393,-0.595034554,0.401282572,0.193751982,,,0
1,875.70014,48.95352674,5.233536888,-0.032482318,-0.248634771,0.281117089,,,1
1,-88.33626705,-732.3526612,822.8531214,-0.036734175,0.00518228,0.031551895,,,1
0,36.78683773,22.05555113,-62.53391969,-0.374443116,0.599980842,-0.225537727,,,0
1,-68.44116677,251.3993827,-180.6063,-0.407823367,-0.041072549,0.448895916,,,1
0,55.01598356,0.621436477,-58.8033279,0.125751176,0.460819379,-0.586570554,,,0
0,-6.915643152,-24.32068221,28.27695809,0.581313063,-0.38290669,-0.198406373,,,0
0,6.85020344,66.30557727,-70.82441599,-0.561260327,0.500152566,0.061107761,,,0
0,-67.38313459,73.49883899,-4.210938425,-0.284194551,-0.315867271,0.600061822,,,0
0,-19.82941525,95.06041683,-78.61330502,-0.619632234,0.346322828,0.273309407,,,0
1,-275.8898744,864.5516882,-588.6636865,0.029484344,0.011603831,-0.041088175,,,1
1,-493.326864,-386.8402691,882.2557252,-0.042114345,0.025134849,0.016979496,,,1
0,48.26554551,-21.56096776,-26.08386992,0.431427172,0.153506724,-0.584933896,,,0
1,844.6139967,63.38045998,-11.89582066,-0.159745681,-0.046764751,0.206510432,,,1
1,-119.8025178,-695.6866569,-57.51486782,-0.039868756,0.27324267,-0.233373915,,,1
0,44.88201836,37.02273407,-85.18305349,-0.221340322,0.617115053,-0.395774731,,,0
1,114.5399772,-815.2396575,702.7006447,-0.034694697,-0.003697229,0.038391926,,,1
0,-63.25461365,22.05643689,43.13818605,0.347090197,-0.543453623,0.196363427,,,0
1,-16.50967052,773.6627489,55.93568296,0.037143284,-0.229347757,0.192204474,,,1
0,-40.98230281,63.09028535,-25.84701588,-0.556346539,0.06726237,0.48908417,,,0
0,22.76902191,53.50711988,-73.94096842,-0.476447731,0.576590304,-0.100142572,,,0
1,825.4637504,-139.9442733,-685.5217407,0.031717985,-0.040110512,0.008392527,,,1
0,19.72128899,39.35333833,-62.75908111,-0.503664819,0.544471356,-0.040806538,,,0
0,-21.12133085,93.08444098,-75.09452253,-0.619096182,0.328548919,0.290547264,,,0
0,47.58888445,34.65509445,-84.99579159,-0.177102793,0.60868189,-0.431579097,,,0
0,-28.41455873,81.51265482,-50.77477947,-0.607546265,0.233241553,0.374304712,,,0
0,45.84496511,9.537412565,-59.07851225,-0.269899688,0.604671717,-0.334772029,,,0
1,-9.611725799,-658.0657376,670.1656281,-0.397109527,-0.020725046,0.417834573,,,1
1,49.89308339,-651.3364887,604.0262447,0.12270288,0.025653792,-0.148356672,,,1
1,-215.9812609,-632.9442429,851.0096849,-0.041213261,0.012095686,0.029117575,,,1
0,-49.92790192,0.67148478,51.46478666,0.327041271,-0.595771171,0.268729899,,,0
0,-49.12743559,10.09180654,36.06315009,0.353166513,-0.582778491,0.229611978,,,0
0,-45.08691365,-15.20319476,62.96423085,0.390005071,-0.592238362,0.202233291,,,0
1,-282.5483952,-582.6857114,867.2406553,-0.041859276,0.015244045,0.026615232,,,1
1,-20.39682996,748.7640368,-725.8106493,0.292773342,0.009649674,-0.302423016,,,1
0,45.53703669,38.63898765,-87.00185021,-0.213440982,0.617023753,-0.403582771,,,0
0,-36.81840444,98.73067951,-65.28873503,-0.602866797,0.190755801,0.412110996,,,0
0,-1.687743705,82.17507466,-83.392314,-0.589262549,0.466715819,0.12254673,,,0
0,-59.12968612,67.65675219,-5.690137811,-0.45212502,-0.128175549,0.580300569,,,0
0,-50.61489528,79.45285865,-26.60805417,-0.517999332,-0.01868036,0.536679692,,,0
1,-33.97792262,-429.5456628,465.7778617,-0.49035794,-0.033290999,0.523648939,,,1
0,-19.84268587,-28.01535225,50.14524676,0.54137324,-0.486857848,-0.054515393,,,0
1,-878.6516116,365.4883802,515.1839063,-0.023241319,0.042316105,-0.019074787,,,1
1,-206.3557718,-656.867517,865.3893547,-0.037551068,0.010533407,0.027017661,,,1
0,52.51053435,-16.33407619,-39.11344237,0.293971522,0.317768192,-0.611739714,,,0
0,56.11123853,-35.90547096,-14.86035389,0.283481127,0.319215024,-0.602696151,,,0
1,-49.72431716,-219.3506327,271.4097823,-0.508346133,-0.039512152,0.547858285,,,1
1,-596.1816204,863.1008519,-264.8074291,0.014368235,0.027334332,-0.041702567,,,1
1,209.3344809,-848.3114977,638.9747534,-0.031823582,-0.008289473,0.040113055,,,1
0,49.12213343,28.09681446,-80.50008565,-0.139070035,0.596392961,-0.457322926,,,0
0,59.33056814,-37.59774726,-25.44666102,0.192809277,0.400116546,-0.592925823,,,0
0,-61.86197688,7.343396761,50.88684089,0.114725856,-0.572996565,0.458270709,,,0
0,10.7934252,-32.62193782,23.70908459,0.594018742,-0.259832787,-0.334185956,,,0
1,-678.7788851,-150.6738185,829.4504635,-0.039142653,0.033669815,0.005472838,,,1
0,-55.28805318,8.469464895,49.02865629,0.261089374,-0.595666648,0.334577274,,,0
0,35.81837337,50.40060664,-89.36910618,-0.347961882,0.624328938,-0.276367056,,,0
0,-28.77980318,-9.294548345,34.99249851,0.504864066,-0.512206806,0.00734274,,,0
1,-59.86098173,-26.32067966,88.51621811,-0.488713845,-0.042054054,0.530767899,,,1
0,-57.72433331,16.47295707,43.20039283,0.371659961,-0.544290577,0.172630616,,,0
0,-72.38467264,73.39882936,-4.486267588,-0.199680773,-0.385564484,0.585245256,,,0
1,-565.5354228,870.3715685,-304.8381814,0.016221884,0.025793726,-0.042015609,,,1
1,862.1628328,-338.8714422,21.38221351,0.02485936,-0.325018971,0.300159611,,,1
0,27.49556938,62.34008987,-93.2342387,-0.423906841,0.612594836,-0.188687994,,,0
0,-67.16836794,42.13694405,21.81213043,0.092941276,-0.549842655,0.456901379,,,0
1,-135.1056731,-688.8671343,823.9705439,-0.040110978,0.008236522,0.031874456,,,1
0,-67.45609637,43.84410453,20.14255533,0.101212945,-0.551413283,0.450200339,,,0
1,459.3494658,423.650477,-883.0008635,0.042272964,-0.023451322,-0.018821642,,,1
0,-24.69489764,96.57414557,-75.25992728,-0.61981096,0.305203522,0.314607438,,,0
1,762.074638,-26.13498593,38.97671381,0.035374332,-0.371234696,0.335860364,,,1
0,59.60192068,-28.25465788,-35.05721151,0.091230969,0.472389441,-0.56362041,,,0
0,-65.75460847,19.96687771,42.15145158,-0.00828728,-0.521141779,0.529429059,,,0
1,-30.3515843,-469.4440458,502.0546214,-0.480987456,-0.031582371,0.512569827,,,1
1,96.93862262,-825.7560553,-54.58581964,-0.034650687,0.204629164,-0.169978477,,,1
0,-65.7596996,39.85968138,22.43128661,0.138333354,-0.562660762,0.424327408,,,0
0,-2.620254478,54.39579456,-55.4518667,-0.590907557,0.415344744,0.175562813,,,0
0,-49.69206565,-9.594763828,61.96249433,0.345034542,-0.600207448,0.255172906,,,0
0,-72.63731565,66.60480333,2.560452785,-0.125894118,-0.438604312,0.56449843,,,0
0,-56.12967724,97.19521452,-44.52595307,-0.509129363,-0.03451271,0.543642072,,,0
1,-682.7635596,826.8345775,-144.0732816,0.008599665,0.031642298,-0.040241963,,,1
0,55.83787517,-17.28486237,-36.61048714,0.278383201,0.332363022,-0.610746224,,,0
0,45.8064843,-20.63341383,-28.47349974,0.399094455,0.197913281,-0.597007737,,,0
0,-22.07264959,-35.98807317,60.83425011,0.539659969,-0.498374311,-0.041285658,,,0
0,-54.84889465,17.77846432,34.09566517,0.289724562,-0.587444719,0.297720157,,,0
0,-31.11359019,92.22318248,-59.19416965,-0.606044471,0.213237403,0.392807067,,,0
1,-368.2564744,-501.7529733,-56.60620265,-0.042314437,0.337343844,-0.295029407,,,1
0,34.66163706,50.39402859,-83.20004809,-0.384220695,0.615709295,-0.231488601,,,0
0,29.28714471,57.55105121,-89.86690447,-0.415281509,0.612290658,-0.197009149,,,0
1,803.2434527,28.73837652,21.74405855,0.098622008,-0.421106584,0.322484576,,,1
0,48.2992835,-59.82510206,11.52581856,0.483053418,0.075127097,-0.558180515,,,0
0,-71.67303792,64.36957281,4.198125067,-0.142949344,-0.428349587,0.571298931,,,0
0,55.51544916,-4.354617283,-54.0933035,0.15436189,0.439315551,-0.593677442,,,0
1,-671.4260876,376.7649564,295.7254952,-0.124796364,0.05292407,0.071872294,,,1
1,696.8139265,121.9807679,-818.7947088,0.038612008,-0.034415796,-0.004196212,,,1
0,52.7730252,-53.22853139,-3.266447867,0.383184553,0.213449086,-0.596633638,,,0
1,-866.085988,-43.92424085,-9.8835678,-0.003546687,0.299531301,-0.295984614,,,1
0,-49.43208769,0.418058308,51.30872358,0.33463621,-0.594759609,0.260123399,,,0
0,59.38563126,-18.96498983,-42.83712984,-0.003610526,0.525932786,-0.522322261,,,0
0,-22.9507705,71.21334897,-45.35014444,-0.611148096,0.287469739,0.323678357,,,0
0,-66.2379206,38.45704096,24.91223947,0.094421006,-0.552018756,0.45759775,,,0
1,794.488645,-94.43794579,21.40363187,0.033415905,-0.360922111,0.327506206,,,1
0,-59.29756439,25.2499421,35.87141618,0.196726568,-0.581301085,0.384574517,,,0
0,-20.80798125,91.8451498,-74.05048981,-0.618597849,0.327816067,0.290781783,,,0
0,-66.91705013,33.94277612,35.2764782,0.032492307,-0.534407207,0.5019149,,,0
0,-67.57367513,57.25746206,13.13626897,-0.311948049,-0.29629475,0.608242799,,,0
1,336.1761813,-881.3085727,-46.67687216,-0.027032615,0.103309396,-0.07627678,,,1
0,-70.67862747,53.81071757,13.64490168,-0.020730161,-0.501129882,0.521860043,,,0
1,-547.0423745,880.7307099,35.32099009,0.016851742,0.001823256,-0.018674998,,,1
0,-59.70826548,2.377636801,53.7006341,0.161031197,-0.586686815,0.425655618,,,0
0,-71.23669901,66.53739975,1.709918178,-0.179365873,-0.402544525,0.581910398,,,0
1,615.1535116,70.67540614,-34.3588846,-0.311089245,0.258689853,0.052399392,,,1
0,-43.39646435,97.41693172,-57.26710202,-0.579657606,0.115712385,0.463945221,,,0
1,309.4335836,561.8192112,-871.2550584,0.041998417,-0.01640445,-0.025593966,,,1
0,52.23623331,-0.452886482,-49.04782815,-0.093191882,0.566242254,-0.473050372,,,0
0,-25.65030042,71.577774,-43.2171243,-0.609252843,0.261822593,0.34743025,,,0
0,51.03910385,-41.05641785,-7.234132715,0.34873579,0.251811541,-0.60054733,,,0
1,-847.8545366,617.9360055,-0.119403808,-0.010500602,0.232222347,-0.221721744,,,1
1,-29.21439336,774.5569783,-742.7079416,0.232054381,0.00373285,-0.235787231,,,1
0,-18.12315117,-30.36841939,50.86703964,0.548426853,-0.474521037,-0.073905816,,,0
0,-9.62830882,-51.67284299,57.69306838,0.575840602,-0.448677448,-0.127163154,,,0
1,-42.41158143,783.1382064,-738.1257496,0.121268065,-0.006223218,-0.115044847,,,1
0,-57.36825084,52.11623229,5.252018553,-0.369473543,-0.23115491,0.600628453,,,0
0,53.46235017,-36.6102966,-14.10537618,0.292654898,0.310941997,-0.603596894,,,0
0,-31.18394537,81.92354602,-48.41695357,-0.602745036,0.20646568,0.396279357,,,0
1,-576.1773416,867.9743658,-291.7992878,0.015600573,0.026322599,-0.041923172,,,1
1,-83.7133742,42.10281172,38.01563142,0.416930483,-0.066439089,-0.350491394,,,0
1,872.9290461,-313.2060173,-557.6639323,0.025379823,-0.04202332,0.016643497,,,1
1,828.3614559,-681.2419957,-145.0538232,0.005250191,-0.039000986,0.033750795,,,1
1,-542.7061308,-346.1535084,889.0110707,-0.041856042,0.027033479,0.014822563,,,1
0,-54.34098407,58.36322575,-7.677438908,-0.460354488,-0.112773849,0.573128337,,,0
0,61.20274434,-16.15181527,-45.05092907,-0.030965913,0.539495022,-0.508529109,,,0
1,-254.9325635,27.91061726,-48.47532015,-0.339233566,0.605641632,-0.266408065,,,1
0,0.948085268,-16.76910884,27.96192999,0.578177889,-0.341458755,-0.236719134,,,0
1,33.52071731,49.57114831,-49.79473699,-0.380156976,0.560090965,-0.17993399,,,1
1,751.5654063,69.45366088,-24.26993438,-0.24586358,0.114300881,0.131562698,,,1
1,239.4000167,-31.52660871,48.49391653,0.347830454,-0.604109235,0.256278781,,,1
0,-4.037517876,-52.80108192,56.8385998,0.582521895,-0.43566513,-0.146856765,,,0
1,836.981018,-664.0135992,-172.9696816,0.006560338,-0.039483393,0.032923055,,,1
1,31.31682859,-789.5416592,760.8239715,-0.104659289,0.006668556,0.097990733,,,1
0,40.4725327,-49.65303254,12.02159467,0.496911584,0.04159911,-0.538510694,,,0
1,-755.3083072,12.10239591,-39.64192008,-0.035745453,0.372188344,-0.336442891,,,1
1,883.4492849,-427.221988,-456.2295601,0.020343458,-0.042300336,0.021956877,,,1
0,-24.40166262,-11.21510715,36.13420503,0.539082877,-0.406508822,-0.132574056,,,0
0,55.07063458,5.51331694,-63.62841857,0.060709921,0.502979113,-0.563689035,,,0
0,-72.30024719,65.22682176,3.720566662,-0.125339547,-0.439419714,0.56475926,,,0
1,607.1571513,-859.7534301,252.5940171,-0.013783224,-0.027769517,0.041552742,,,1
1,-634.539222,-70.76676253,33.20366386,0.303936985,-0.241351566,-0.062585419,,,1
1,673.2239699,-836.6905129,-25.31356647,-0.008631751,-0.078131137,0.086762888,,,1
